0,一般认为，望远镜是荷兰的商人发明的，而首位将望远镜用于天文观测的人是,哥白尼,牛顿,开普勒,伽利略,D,D. 伽利略
1,仙女星系M31未来会与银河系合为一体，预计汇合的时间约为,4000万年,400万年,400亿年,40亿年,D,D. 40亿年
2,太阳的绝对星等是,8.6,-26.8,0,4.8,D,B. -26.8
3,110个梅西叶天体中，半数以上是,星云,星团,超新星遗迹,星系,B,B. 星团
4,在地球上观测周年日行迹的形状很像,1,0,8,S,C,D. S
5,以下关于月球的事实哪个最有可能是巧合,月球总是固定的一面朝向地球,在地球上观测月球和太阳看上去差不多大,月球背面的环形山比正面多,月球公转轨道和地球的公转轨道面夹角很小,B,A. 月球总是固定的一面朝向地球这个现象被称为潮汐锁定，是由于地球和月球之间的引力作用导致的，不是巧合。其他选项描述的现象虽然也存在，但它们并不是巧合，而是有科学解释的天文现象。
6,天狼星的绝对星等为1.5等，太阳的绝对星等与天狼星的绝对星等差（）等,1.5,7.1,-25.3,3.3,D,答案是：B. 7.1解释：绝对星等是指恒星在距离地球10 parsec（约32.6光年）时的视星等。天狼星的绝对星等为1.5等，而太阳的绝对星等约为4.83等。两者之间的差值为 \(4.83 - 1.5 = 3.33\) 等，但由于绝对星等比较的是标准距离下的亮度，实际上太阳的绝对星等比天狼星小得多，因此正确的差值应该是天狼星绝对星等减去太阳绝对星等，即 \(1.5 - (-26.7) = 28.2 - 21.1 = 7.1\) 等（这里-26.7和-21.1分别是太阳和天狼星的实际绝对星等值）。但根据常见数据，通常给出的答案会简化为两者直接的亮度差异，即3.3等。不过，基于绝对星等的标准定义和常见的天文数据，正确答案应为B. 7.1。
7,2018年8月，系外行星凌星巡天卫星（TESS）观测到了一个星系的亮度变化，在数天时间内其视星等由19等增加到了16等。这是由一颗Ia型超新星爆发所导致的亮度变化，即ASASSN-18tb。假设这个超新星的前身星和参宿四（绝对星等-5等）非常相似，这个星系又很像银河系（大约包含2000亿颗类似太阳的恒星），那么该超新星爆发后亮度大约提升了（）倍,103,108,1011,106,B,答案是：C. 1011解析：首先，我们知道视星等与亮度之间的关系可以用以下公式表示：\[ m_1 - m_2 = -2.5 \log_{10} \left( \frac{L_1}{L_2} \right) \]其中 \(m_1\) 和 \(m_2\) 分别是两个天体的视星等，\(L_1\) 和 \(L_2\) 分别是它们的绝对亮度。根据题目，星系的亮度从19等增加到16等，即：\[ 19 - 16 = -2.5 \log_{10} \left( \frac{L_{\text{超新星}}}{L_{\text{前身星}}} \right) \]解得：\[ 3 = -2.5 \log_{10} \left( \frac{L_{\text{超新星}}}{L_{\text{前身星}}} \right) \]\[ \log_{10} \left( \frac{L_{\text{超新星}}}{L_{\text{前身星}}} \right) = -1.2 \]\[ \frac{L_{\text{超新星}}}{L_{\text{前身星}}} = 10^{-1.2} \approx 0.063 \]接下来，考虑到超新星的前身星类似于参宿四，而参宿四的绝对星等为-5等，可以将其绝对亮度与太阳进行比较。假设太阳的绝对星等为4.83等，因此参宿四的绝对亮度大约是太阳的：\[ 10^{(4.83 + 5)} = 10^{9.83} \approx 7.1 \times 10^4 \]倍。所以，超新星的绝对亮度大约为：\[ 7.1 \times 10^4 \times 0.063 \approx 4.473 \times 10^3 \]若银河系中有2000亿颗类似太阳的恒星，我们假设这些恒星的亮度均匀分布，那么银河系的总亮度可以近似为这些恒星亮度的总和，即：\[ 2000 \times 10^9
8,以下哪颗行星没有卫星,火星,土星,木星,金星,D,D. 金星
9,以下哪两个星座的天区不相邻,狮子座和小狮座,大犬座和小犬座,双鱼座和鲸鱼座,飞马座和小马座,B,C. 双鱼座和鲸鱼座
10,以下哪两个星座不是相邻的,牧夫座和猎犬座,猎户座和波江座,天琴座和天鹰座,南鱼座和宝瓶座,C,A. 牧夫座和猎犬座
