0,现已建成的核电站的能量来⾃于,重核裂变放出的能量,⼈⼯放射性同位素放出的的能量,天然放射性元素衰变放出的能量,化学反应放出的能量,A,A. 重核裂变放出的能量
1,下列现象中，属于⽤热传递的⽅式改变物体内能的是,两⼿互相摩擦时⼿发热,在炉⼦上烧开⽔,菜⼑在砂轮上磨得发烫,⽤打⽓筒打⽓时筒壁发热,B,B. 在炉子上烧开水
2,⼀名观察者站在站台边，⽕⻋进站从他身边经过，⽕⻋共10节⻋厢，当第10节⻋厢完全经过他身边时，⽕⻋刚好停下。设⽕⻋做匀减速直线运动且每节⻋厢⻓度相同，则第8节和第9节⻋厢从他身边经过所⽤ 时间的⽐值为,sqrt(3):sqrt(2),(sqrt(2)-1):(sqrt(3)-sqrt(2)),(sqrt(3)-sqrt(2)):(sqrt(2)-1),sqrt(2):sqrt(3),C,答案是 C. (sqrt(3)-sqrt(2)):(sqrt(2)-1)解析如下：设每节车厢长度为 \(L\)，火车间的速度为 \(v_0\)，加速度为 \(-a\)（负号表示减速）。火车间完全经过观察者的时间为 \(t_{10}\)。根据匀变速直线运动规律，火车间第10节车厢完全经过观察者时的速度 \(v = v_0 - at_{10} = 0\)，所以 \(v_0 = at_{10}\)。对于第8节车厢开始经过到第9节车厢完全经过观察者的过程，我们设这段时间为 \(t_2\)，此时的速度为 \(v_2 = v_0 - a(t_{10}-t_2)\)。对于第9节车厢开始经过到第10节车厢完全经过观察者的过程，我们设这段时间为 \(t_1\)，此时的速度为 \(v_1 = v_0 - a(t_{10}-t_1)\)。由位移公式 \(s = vt + \frac{1}{2}at^2\)，可以得出两段时间内的位移分别为 \(L\)，即：\[ L = v_2 t_2 + \frac{1}{2}a t_2^2 \]\[ L = v_1 t_1 + \frac{1}{2}a t_1^2 \]因为 \(v_2 = v_0 - a(t_{10}-t_2)\) 和 \(v_1 = v_0 - a(t_{10}-t_1)\)，并且 \(v_0 = at_{10}\)，代入上述公式并简化，可以得到 \(t_1\) 和 \(t_2\) 的关系。最终通过计算可得时间比值为 \((\sqrt{3}-\sqrt{2}) : (\sqrt{2}-1)\)。
3,关于电场，下列说法中正确的是,电场是为了便于研究电荷的运动⽽引⼊的理想模,电荷间的相互作⽤不是通过电场作媒介产⽣的,电荷周围分布的电场线就是电场,电场是电荷周围空间实际存在的物质,D,D. 电场是电荷周围空间实际存在的物质
4,下列关于紫外线的⼏种说法中，正确的是,紫外线可使钞票上的荧光物质发光,紫外线的频率⽐红外线的频率低,利⽤紫外线可以进⾏电视机等电器的遥控,紫外线是⼀种紫⾊的可⻅光,A,A
5,关于功和能的联系和区别，下列说法中不正确的是,功是过程量，能是状态量,功是能量转化的量度,做功的过程总对应着能量的转化过程,功就是能，能就是功,D,D. 功就是能，能就是功
6,下列说法正确的是,光速不变原理是狭义相对论的两个基本假设之⼀,光在介质中的速度⼤于光在真空中的速度,变化的电场⼀定产⽣变化的磁场；变化的磁场⼀定产⽣变化的电场,拍摄玻璃橱窗内的物品时，往往在镜头前加⼀个偏振⽚以增加透射光的强度,A,A
7,两个质量相等的物体分别沿⾼度相同但倾⻆不同的光滑斜⾯从顶端⾃由下滑到底端，在此过程中两物体具有相同的物理量是,动量的变化,合⼒的冲量,速率的变化,重⼒的冲量,C,D. 重力的冲量解析：由于斜面是光滑的，因此没有摩擦力作用。两个物体下滑的过程中，只有重力做功。虽然倾角不同，但是高度相同，所以重力所做的功（即重力的冲量）是相同的。动量的变化、合力的冲量和速率的变化都会因为斜面倾角的不同而不同。
8,关于瞬时速度，下列说法正确的是,是物体在某段时间内的速度,是物体在通过某⼀段位移过程中的速度,以上说法均正确,是物体通过某⼀位置时的速度,D,D. 是物体通过某一位置时的速度
9,⽓体内能是所有⽓体分⼦热运动动能和势能的总和，其⼤⼩与⽓体的状态有关，分⼦热运动的平均动能与分⼦间势能分别取决于⽓体的,压强和温度,体积和压强,温度和压强,温度和体积,D,C. 温度和压强
