0,"在二分类问题中，当测试集的正例和负例数量不均衡时，以下评价方案哪个是相对不合理的（假设precision=TP/(TP+FP),recall=TP/(TP+FN)。）",F-值:2recallprecision/(recall+precision),G-mean:sqrt(precision*recall),准确性:(TP+TN)/all,AUC:ROC曲线下面积,C,C
1,深度学习中遇见过拟合下列哪个处理办法不可取 ,加dropout层,加深层数,数据增强,加正则项,B,B. 加深层数
2,假设我们有一个数据集，在一个深度为 6 的决策树的帮助下，它可以使用 100% 的精确度被训练。现在考虑一下两点，并基于这两点选择正确的选项。1.深度为 4 时将有高偏差和低方差；2.深度为 4 时将有低偏差和低方差。注意：所有其他超参数是相同的，所有其他因子不受影响。,1 和 2,只有 2,没有一个,只有 1,D,B. 只有 2
3,下列哪些方法不可以用来对高维数据进行降维,LASSO,Bagging,主成分分析法,聚类分析,B,B. Bagging
4,机器学习中L1正则化和L2正则化的区别是 ,使用L1可以得到稀疏、平滑的权值,使用L2可以得到稀疏、平滑的权值,使用L1可以得到稀疏的权值、使用L2可以得到平滑的权值,使用L2可以得到稀疏的权值、使用L1可以得到平滑的权值,C,C. 使用L1可以得到稀疏的权值、使用L2可以得到平滑的权值
5,下列关于隐马模型和条件随机场模型的说法中错误的是? ,隐马模型和隐马模型隐可用于命名实体识别、分词和词性标注的任务,隐马模型和隐马模型都是生成模型,隐马模型不是概率无向图模型,特征的选取和优化会严重影响隐马模型的结果,B,B
6,下面哪个/些超参数的增加可能会造成随机森林数据过拟合,学习速率,树的数量,树的深度,以上都不是,C,C. 树的深度
7,下面关于迭代二叉树3代算法中说法错误的是,迭代二叉树3代算法是一个二叉树模型,信息增益可以用熵，而不是GINI系数来计算,迭代二叉树3代算法要求特征必须离散化,选取信息增益最大的特征，作为树的根节点,A,C
8,下面哪个/些选项对 K 折交叉验证的描述是正确的,如果 K=N，那么其称为留一交叉验证，其中 N 为验证集中的样本数量,更大的 K 值相比于小 K 值将对交叉验证结构有更高的信心,以上都是,增大 K 将导致交叉验证结果时需要更多的时间,C,C. 以上都是
9,已知有m个样本，进行n（n<=m）次采样。bootstrap数据是什么意思？,无放回地从总共N个样本中抽样n个样本,无放回地从总共M个特征中抽样m个特征,有放回地从总共N个样本中抽样n个样本,有放回地从总共M个特征中抽样m个特征,C,C. 有放回地从总共N个样本中抽样n个样本
10,如果以特征向量的相关系数作为模式相似性测度，则影响聚类算法结果的主要因素有,量纲,已知类别样本质量,以上都不是,分类准则,D,A. 量纲
11,模型训练过程中，我们一般将数据分成 ,验证集,测试集,训练集,其他选项均可,D,D. 其他选项均可
12,你正在使用带有 L1 正则化的 logistic 回归做二分类，其中 C 是正则化参数，w1 和 w2 是 x1 和 x2 的系数。当你把 C 值从 0 增加至非常大的值时，下面哪个选项是正确的,第一个 w1 成了 0，接着 w2 也成了 0,w1 和 w2 同时成了 0,第一个 w2 成了 0，接着 w1 也成了 0,即使在 C 成为大值之后，w1 和 w2 都不能成 0,D,A. 第一个 w1 成了 0，接着 w2 也成了 0解析：L1 正则化倾向于产生稀疏解，即某些特征的权重可能会被完全设置为 0。当正则化参数 \( C \) 从 0 增加时，模型会逐渐减少对正则化项的惩罚，使得特征的权重能够更好地反映数据中的信息。因此，L1 正则化的 logistic 回归可能会首先将某个特征的权重（例如 \( w1 \)）设置为 0，然后才会将另一个特征的权重（例如 \( w2 \)）设置为 0。随着 \( C \) 的增加，更多的特征权重可能会被设置为 0，但并不是同时将两个权重都变为 0。
13,下列方法中，不可以用于特征降维的方法包括,深度学习SparseAutoEncoder,矩阵奇异值分解SVD,线性判别分析,主成分分析,A,A. 深度学习SparseAutoEncoder
14,贝叶斯定理求得是什么概率? ,先验概率,其它选项都不是,条件概率,联合概率,C,B. 其它选项都不是贝叶斯定理主要用于计算条件概率，即在已知某些条件下，某个事件发生的概率。但贝叶斯定理本身并不直接求得先验概率、联合概率等，而是基于这些概率来计算后验概率。因此，最准确的答案是“其它选项都不是”。不过，根据题目的要求，选择最接近正确的选项，应该是C. 条件概率。
15,在机器学习中，解释学习器泛化性能中经常用到偏差-方差分解，下列说法不正确的是 ,方差体现的是学习器预测的稳定性,偏差体现的是学习器预测的准确度,泛化性能是由学习算法的能力、数据的充分性以及学习任务本身的难度所共同决定的,方差指的是预测的期望值与真实值的偏差,D,D
16,假如你用logistic Regression 算法去预测电脑销量，当你在新的测试集上验证你的假设时，发现预测值有很大的偏差，并且你的假设在训练集上表现也很差，下面那些步骤你应该避免采纳,尝试着减小正则项 λ,尝试增加交叉特征,增大样本量,尝试更小的测试集或者特征,D,D. 尝试更小的测试集或者特征
17,以P(w)表示词条w的概率，假设已知P（南京）=0.8，P（市长）=0.6，P（江大桥）=0.4：P（南京市）=0.3，P（长江大桥）=0.5：如果假设前后两个词的出现是独立的，那么分词结果就是,南京_市长_江大桥,南京市_长江_大桥,南京市长_江大桥,南京市_长江大桥,A,答案是：D. 南京市_长江大桥解析：根据题目条件，前后两个词的出现是独立的。因此，我们可以使用给定的单个词条的概率来计算不同分词结果的联合概率，选取联合概率最高的分词结果作为正确答案。A. 南京_市长_江大桥- 联合概率 = P(南京) * P(市长) * P(江大桥) = 0.8 * 0.6 * 0.4 = 0.192B. 南京市_长江_大桥- 联合概率 = P(南京市) * P(长江) * P(大桥) = 0.3 * 0.5 * 0.5 = 0.075C. 南京市长_江大桥- 联合概率 = P(南京市长) * P(江大桥)，但这里没有给出P(南京市长)的具体值，而且“南京市长”不是一个常见的词汇组合，所以这个选项不太可能有较高的概率。D. 南京市_长江大桥- 联合概率 = P(南京市) * P(长江大桥) = 0.3 * 0.5 = 0.15从上面的计算可以看出，选项D的联合概率最高，因此正确答案是D. 南京市_长江大桥。
18,对数几率回归（logistics regression）和一般回归分析有什么区别,对数几率回归是设计用来预测事件可能性的,对数几率回归可以用来估计回归系数,以上都是,对数几率回归可以用来度量模型拟合程度,C,C. 以上都是
19,下面哪些对「类型 1（Type-1）」和「类型 2（Type-2）」错误的描述是错误的,类型 1 错误通常在其是正确的情况下拒绝假设而出现,类型 1 通常称之为假正类，类型 2 通常称之为假负类,以上都是,类型 2 通常称之为假正类，类型 1 通常称之为假负类,D,C
20,影响基本K-均值算法的主要因素有,初始类中心的选取,聚类准则,样本输入顺序,模式相似性测度,D,A. 初始类中心的选取
21,高斯混合模型(GMM)是一种什么模型,无监督学习模型,其他选项都不是,半监督学习模型,有监督学习模型,A,A. 无监督学习模型
22,基于语法规则的方法为,条件随机场,最大熵模型,句法、语义分析,最大熵隐马尔科夫模型,B,C. 句法、语义分析
23,"有两个样本点，第一个点为正样本,它的特征向量是(0,-1);第二个点为负样本,它的特征向量是(2,3),从这两个样本点组成的训练集构建一个线性SVM分类器的分类面方程是",2x-y=0,x+2y=5,x+2y=3,2x+y=4,C,"答案是：C. x+2y=3解析：对于线性SVM，我们需要找到一个线性方程（即超平面）来最大化正负样本之间的间隔。给定两个样本点，可以通过求解支持向量机的优化问题来得到这个方程。这里可以直接通过观察和代入法验证。设超平面方程为 \(ax + by = c\)。根据正样本 (0, -1) 和负样本 (2, 3)，代入得：1. 对于正样本 (0, -1): \(a*0 + b*(-1) = c \Rightarrow -b = c\)2. 对于负样本 (2, 3): \(a*2 + b*3 = c\)结合上述两个条件，我们可以推导出：- 由 \(-b = c\) 得到 \(c = -b\)- 将 \(c = -b\) 代入第二个方程得到 \(2a + 3b = -b \Rightarrow 2a + 4b = 0 \Rightarrow a = -2b\)因此，超平面方程可以写成 \(-2b*x + b*y = -b\)，简化得到 \(-2x + y = -1\) 或者 \(2x - y = 1\)。但是为了与选项一致，我们通常会调整形式使其看起来更像标准形式，即 \(2x - y = 1\) 可以乘以 \(-1\) 调整为 \(-2x + y = -1\) 或者进一步调整为 \(x + 2y = 3\) 形式。所以正确答案是 C. x+2y=3。"
24,隐马尔可夫模型，设其观察值空间为 状态空间为 如果用维特比算法(Viterbi algorithm)进行解码，时间复杂度为,O(NK),O(N^2K),以上都不是,O(NK^2),C,答案是：B. O(N^2K)
25,假定你使用了一个很大γ值的RBF核，这意味着：,模型不会被点到超平面的距离所影响,以上都不是,模型仅使用接近超平面的点来建模,模型将考虑使用远离超平面的点建模,C,D. 模型将考虑使用远离超平面的点建模
26,关于 ARMA (auto regressive moving average model)（自回归滑动平均模型）、 AR (auto regressive model)（自回归模型）、 MA（滑动平均模型） 模型的功率谱，下列说法正确的是,AR模型在零点接近单位圆时，AR谱是一个尖峰,MA模型是同一个全通滤波器产生的,MA模型在极点接近单位圆时，MA谱是一个深谷,RMA谱既有尖峰又有深谷,D,D. RMA谱既有尖峰又有深谷
27,变量选择是用来选择最好的判别器子集， 如果要考虑模型效率，我们应该做除了下列哪项的变量选择的考虑,交叉验证,变量对于模型的解释有多大作用,特征携带的信息,多个变量其实有相同的用处,B,B
28,"下列时间序列模型中,哪一个模型可以较好地拟合波动性的分析和预测",auto regressive model AR模型,自回归滑动平均模型,滑动平均模型,广义自回归滑动平均模型,D,D. 广义自回归滑动平均模型（GARCH模型）
29,"当我们构造线性模型时, 我们注意变量间的相关性. 在相关矩阵中搜索相关系数时, 如果我们发现3对变量的相关系数是(Var1 和Var2, Var2和Var3, Var3和Var1)是-0.98, 0.45, 1.23 . 我们可以得出什么结论",以上都是,"因为Var1和Var2是非常相关的, 我们可以去除其中一个",Var1和Var2是非常相关的,Var3和Var1的1.23相关系数是不可能的,A,答案是：D. Var3和Var1的1.23相关系数是不可能的解释：相关系数的取值范围在-1到1之间。因此，当计算出的相关系数为1.23时，这是不可能的，表明可能存在数据输入错误或其他问题。
30,机器学习中做特征选择时，可能用到的方法有,以上都有,卡方,信息增益,期望交叉熵,A,A. 以上都有
31,LSTM与GRU的一个主要区别在于GRU将LSTM的哪几个gate融合了,forget gate和input gate, input gate和output gate,forget gate和output gate,output gate和reset gate,A,答案是：A. forget gate和input gate
32,符号集 a 、 b 、 c 、 d ，它们相互独立，相应概率为 1/2 、 1/4 、 1/8/ 、 1/16 ，其中包含信息量最小的符号是,d,b,a,c,C,A. d
33,假设你使用 log-loss 函数作为评估标准。下面这些选项，哪些是对作为评估标准的 log-loss 的正确解释,以上都是,log-loss 越低，模型越好,对一个特别的观察而言，分类器为正确的类别分配非常小的概率，然后对 log-loss 的相应分布会非常大,如果一个分类器对不正确的分类很自信，log-loss 会严重的批评它,A,A. 以上都是
34,"已知一组数据的协方差矩阵P,下面关于主分量说法错误的是",主分量分析就是K-L变换,"在经主分量分解后,协方差矩阵成为对角矩阵","主分量分析的最佳准则是对一组数据进行按一组正交基分解, 在只取相同数量分量的条件下,以均方误差计算截尾误差最小",主分量是通过求协方差矩阵的特征值得到,A,C
35,下列关于attention机制的说法错误的是,attention机制会给序列中的元素分配一个权重系数,attention机制可以用于机器阅读理解、问答对话等场景中,传统encoder-decoder模型存在长距离依赖问题,attention机制的变体，多头attention机制不适合并行，其每一步计算依赖于上一步的计算结果,D,D
36,以下哪项不是降低过拟合的方法,收集更多训练数据,进行数据清洗，减少噪声,增加神经网络隐藏层节点数,简化模型假设,C,C
37,"给定三个变量 X，Y，Z。(X, Y)、(Y, Z) 和 (X, Z) 的 Pearson 相关性系数分别为 C1、C2 和 C3。现在 X 的所有值加 2（即 X+2），Y 的全部值减 2（即 Y-2），Z 保持不变。那么运算之后的 (X, Y)、(Y, Z) 和 (X, Z) 相关性系数分别为 D1、D2 和 D3。现在试问 D1、D2、D3 和 C1、C2、C3 之间的关系是什么","D1 = C1, D2 < C2, D3 < C3","D1= C1, D2 < C2, D3 > C3","D1 = C1, D2 = C2, D3 = C3","D1 = C1, D2 > C2, D3 > C3",C,"答案是：C. D1 = C1, D2 = C2, D3 = C3"
38,在决策树中，用作分裂节点的information gain说法不正确的是,信息增益更加倾向于选择有较多取值的属性,信息增益可以使用熵得到,较小不纯度的节点需要更多的信息来区分总体,以上均不是,C,答案是：A
39,下列关于回归分析中的残差表述正确的是,残差的平均值总小于零,残差的平均值总大于零,残差的平均值总为零,残差没有此类规律,C,C. 残差的平均值总为零
40,"我们建立一个5000个特征, 100万数据的机器学习模型. 我们怎么有效地应对这样的大数据训练 ","我们随机抽取一些样本, 在这些少量样本之上训练",以上所有,我们可以试用在线机器学习算法,"我们应用PCA算法降维, 减少特征数",B,B. 以上所有
41,下列哪个不属于条件随机场模型对于隐马尔科夫模型和最大熵隐马尔科夫模型模型的优势,速度快,可容纳较多上下文信息,全局最优,特征灵活,A,C. 全局最优
42,下列哪项不是基于词典的方法的中文分词的基本方法,最大熵模型,最大概率法,最大匹配法,最短路径法,A,A. 最大熵模型
43,假定你使用SVM学习数据X，数据X里面有些点存在错误。现在如果你使用一个二次核函数，多项式阶数为2，使用松弛变量C作为超参之一。 如果使用较小的C（C趋于0），则：,不确定,误分类,正确分类,以上均不正确,B,B. 误分类当使用较小的C值时，意味着对误分类的容忍度较低，模型会更加严格地尝试减少训练误差，从而可能导致一些噪声点或错误标记的点被正确分类。但是，如果数据中存在明显的错误点，这些错误点可能仍然不会被正确处理，导致误分类。因此，在这种情况下，较小的C值可能会增加误分类的可能性。
44,以下哪种方法属于生成模型,条件随机场,传统神经网络,朴素贝叶斯,线性回归,C,A. 条件随机场条件随机场（CRF，Conditional Random Field）是一种生成模型，常用于序列标注问题。而其他选项中的方法不属于生成模型：B. 传统神经网络可以是生成模型也可以是判别模型，具体取决于其设计；C. 朴素贝叶斯是一种基于概率的判别模型；D. 线性回归是一种判别模型。
45,在其它条件不变的前提下，以下哪种做法容易引起机器学习中的过拟合问题,增加训练集数量,删除稀疏的特征,SVM算法中使用高斯核/RBF核代替,减少神经网络隐藏层节点数,C,C. SVM算法中使用高斯核/RBF核代替解析：高斯核（RBF核）是一种非线性核函数，能够捕捉数据中的非线性关系，但它也可能导致模型过于复杂，从而容易出现过拟合。相比之下，增加训练集数量、删除稀疏的特征和减少神经网络隐藏层节点数都有助于防止过拟合。
46,对应GradientBoosting tree算法， 以下说法正确的是,当增加最小样本分裂个数，我们可以抵制过拟合,当我们减少训练单个学习器的样本个数，我们可以降低偏差,当增加最小样本分裂个数，会导致过拟合,当我们增加训练单个学习器的样本个数，我们可以降低方差,A,A. 当增加最小样本分裂个数，我们可以抵制过拟合
