0,下列说法正确的是,I的原子半径大于Br，HI比HBr的热稳定性强,P的非金属性强于Si，H3PO4比H2SiO3的酸性强,Al2O3和MgO均可与NaOH溶液反应,SO2和SO3混合气体通入Ba(NO3)2溶液可得到BaSO3和BaSO4,B,B题目：下列说法正确的是A. I的原子半径大于Br，HI比HBr的热稳定性强B. P的非金属性强于Si，H3PO4比H2SiO3的酸性强C. Al2O3和MgO均可与NaOH溶液反应D. SO2和SO3混合气体通入Ba(NO3)2溶液可得到BaSO3和BaSO4解析：A. 错误，I的原子半径确实大于Br，但HI的热稳定性弱于HBr。B. 正确，P的非金属性强于Si，因此H3PO4的酸性强于H2SiO3。C. 错误，Al2O3不与NaOH溶液反应，而MgO可以。D. 错误，SO2和SO3混合气体通入Ba(NO3)2溶液主要生成BaSO4沉淀，而不生成BaSO3。所以正确答案是B。
1,下列相关实验不能达到预期目的的是,相关实验:把装有颜色相同的NO2和N2O4混合气体的两支试管(密封)分别浸入冷水和热水中。预期目的:探究温度对化学平衡的影响。,相关实验:相同温度下，等质量的大理石块、大理石粉分别与等体积、等浓度的盐酸反应。预期目的:探究接触面积对化学反应速率的影响。,相关实验:两支试管中装有等体积、等浓度的H2O2溶液，向其中一支试管中加入FeCl3溶液。预期目的:探究FeCl3溶液对H2O2分解速率的影响。,相关实验:在蔗糖中加入稀硫酸，水浴加热，再加入新制的氢氧化铜悬浊液并加热。预期目的:探究蔗糖水解产物具有还原性。,D,D题目：下列相关实验不能达到预期目的的是A. 相关实验:把装有颜色相同的NO2和N2O4混合气体的两支试管(密封)分别浸入冷水和热水中。预期目的:探究温度对化学平衡的影响。B. 相关实验:相同温度下，等质量的大理石块、大理石粉分别与等体积、等浓度的盐酸反应。预期目的:探究接触面积对化学反应速率的影响。C. 相关实验:两支试管中装有等体积、等浓度的H2O2溶液，向其中一支试管中加入FeCl3溶液。预期目的:探究FeCl3溶液对H2O2分解速率的影响。D. 相关实验:在蔗糖中加入稀硫酸，水浴加热，再加入新制的氢氧化铜悬浊液并加热。预期目的:探究蔗糖水解产物具有还原性。答案是：D解析：选项D中的实验设计存在问题，因为蔗糖水解产生的葡萄糖虽然具有还原性，但使用氢氧化铜悬浊液来检测还原性并不合适。正确的检测方法应该是使用银氨溶液或斐林试剂进行还原性检测。因此，该实验不能达到预期目的。
2,下列说法中正确的是,电子层数相同的原子核外电子排布，其最外层电子数呈现从1→8的周期性变化,元素性质的周期性变化是指原子半径、元素的主要化合价及原子核外电子排布的周期性变化,从Li→F，Na→Cl，元素的最高化合价均呈现从＋1价→＋7价的变化,元素性质的周期性变化决定于元素原子结构的周期性变化,D,D
3,下列两种物质间发生反应，消耗等物质的量的酸，产生气体最多的是,木炭与浓硝酸,铜与稀硝酸,锌与稀硫酸,木炭与浓硫酸,D,题目：下列两种物质间发生反应，消耗等物质的量的酸，产生气体最多的是A. 木炭与浓硝酸B. 铜与稀硝酸C. 锌与稀硫酸D. 木炭与浓硫酸答案是：C解析：锌与稀硫酸反应生成氢气（Zn + H2SO4 → ZnSO4 + H2↑），而其他选项中的反应要么不会生成气体（如木炭与浓硝酸、木炭与浓硫酸），要么生成的气体较少（如铜与稀硝酸生成一氧化氮而非氢气）。因此，消耗等物质的量的酸时，锌与稀硫酸产生的气体最多。
4,下列实验操作或者结论正确的是,配制一定物质的量浓度的溶液时，容量瓶必须洁净、干燥、不漏水,实验室配制500 mL 0.2 mol·L^－1的硫酸亚铁溶液，其操作是：用天平称27.8 g绿矾，放入500 mL容量瓶，加水溶解、稀释、定容、摇匀,实验室里需要480 mL 2.0 mol·L^－1的氢氧化钠溶液，配制溶液时先称量氢氧化钠固体38.4 g，然后再按照溶解、冷却、移液、定容、摇匀等步骤进行操作,25 °C时，用惰性电极电解某浓度的NaOH溶液，一小段时间后，NaOH溶液的浓度可能增大，也可能不变,D,D
5,《神农本草经》说：“水银……镕化(加热)还复为丹。”《黄帝九鼎神丹经》中的“柔丹”、“伏丹”都是在土釜中加热Hg制得的。这里的“丹”是指,合金,氯化物 ,硫化物 ,氧化物,D,C
6,短周期元素X、Y、Z具有如下所列性质：X单质与水发生剧烈的反应。Y最高价氧化物对应水化物(Q)是强酸。Z主要化合价为－2、＋6。则下列说法中正确的是,Q与锌作用时一定能生成氢气,与水反应时，X的单质一定被氧化,符合条件的Y元素只有一种,X、Z的单质在一定条件下能反应,D,D解析：- X单质与水发生剧烈反应，说明X可能是活泼金属如锂、钠等。- Y最高价氧化物对应水化物Q是强酸，且Y是短周期元素，符合条件的Y只能是氯(Cl)，因为氯的最高价态为+7，其对应的最高价氧化物对应水化物HClO4是强酸。- Z主要化合价为-2、+6，说明Z是硫(S)。综上所述，X可以是锂(Li)或钠(Na)，Y是氯(Cl)，Z是硫(S)。因此，X和Z（即硫）的单质（如硫磺和硫化钠等）在一定条件下确实能够反应。
7,下列关于实验操作的说法正确的是,盛放NaOH溶液时，使用带玻璃塞的磨口瓶,使用容量瓶配制溶液时，俯视刻度线定容后所得溶液浓度偏高,用苯萃取溴水中的溴时，将溴的苯溶液从分液漏斗下口放出,证明一瓶红棕色气体是溴蒸气还是二氧化氮，可用湿润的碘化钾淀粉试纸检验，观察试纸颜色的变化,B,B题目解析：A. 盛放NaOH溶液时，应该避免使用带玻璃塞的磨口瓶，因为NaOH会与玻璃中的SiO2反应生成硅酸钠，导致瓶塞难以打开。B. 使用容量瓶配制溶液时，如果俯视刻度线定容，会导致溶液体积偏小，因此所得溶液浓度偏高。C. 用苯萃取溴水中的溴时，溴的苯溶液应从分液漏斗上口倒出，因为苯的密度小于水。D. 证明一瓶红棕色气体是溴蒸气还是二氧化氮，不能用湿润的碘化钾淀粉试纸，因为两者都能使湿润的淀粉碘化钾试纸变蓝（生成碘）。正确的做法是用湿润的有色布条或湿润的蓝色石蕊试纸检验，溴蒸气会使试纸褪色，而二氧化氮不会。
8,下列每个选项中，甲、乙两个反应属于同一种反应类型的是,甲:乙甲烷与氯气反应制备四氯化碳。乙：乙烯通入酸性KMnO4溶液中。,甲:葡萄糖与新制Cu(OH)2悬浊液作用转化为葡萄糖酸。乙：苯与液溴反应制备溴苯。,甲:乙醇转化为乙。乙：乙烯与HCl作用制备氯乙烷。,甲:乙酸乙酯在稀硫酸存在下与水反应。乙：乙醇与冰醋酸反应生成乙酸乙酯。,D,题目：下列每个选项中，甲、乙两个反应属于同一种反应类型的是A. 甲:乙甲烷与氯气反应制备四氯化碳。乙：乙烯通入酸性KMnO4溶液中。B. 甲:葡萄糖与新制Cu(OH)2悬浊液作用转化为葡萄糖酸。乙：苯与液溴反应制备溴苯。C. 甲:乙醇转化为乙。乙：乙烯与HCl作用制备氯乙烷。D. 甲:乙酸乙酯在稀硫酸存在下与水反应。乙：乙醇与冰醋酸反应生成乙酸乙酯。答案是：D解析：D选项中的甲反应是水解反应（酯化物水解），乙反应也是酯化反应（乙醇与乙酸反应生成乙酸乙酯）。其他选项中的反应类型不同。
9,下列叙述正确的,利用化学方法，我们可以制造出新的分子，但不能制造出新的原子,向溶液中加入BaCl2溶液，产生不溶于硝酸的白色沉淀，该溶液中一定含有Ag＋,明矾水解时产生具有吸附性的胶体粒子，故明矾可作漂白剂,“低碳经济”提倡大量使用煤、石油、天然气等化石燃料,A,A正确答案是：A. 利用化学方法，我们可以制造出新的分子，但不能制造出新的原子。这是正确的，因为在化学反应中，原子是不可分割的基本单位，只能重新组合形成新的分子或化合物。
