主题,总题数,正确回答数,正确率 (%)
professional_accounting,175,142,81.14
legal_and_moral_basis,214,205,95.79
professional_law,211,122,57.82
elementary_commonsense,198,138,69.7
conceptual_physics,147,115,78.23
anatomy,148,100,67.57
human_sexuality,126,73,57.94
high_school_politics,143,110,76.92
high_school_mathematics,164,51,31.1
professional_medicine,376,205,54.52
philosophy,105,75,71.43
management,210,165,78.57
astronomy,165,65,39.39
public_relations,174,112,64.37
electrical_engineering,172,123,71.51
business_ethics,209,130,62.2
high_school_geography,118,78,66.1
construction_project_management,139,80,57.55
high_school_biology,169,105,62.13
chinese_teacher_qualification,179,145,81.01
security_study,135,101,74.81
genetics,176,96,54.55
international_law,185,105,56.76
economics,159,102,64.15
world_religions,160,112,70.0
college_mathematics,105,37,35.24
college_education,107,86,80.37
global_facts,149,96,64.43
college_medical_statistics,106,55,51.89
machine_learning,122,70,57.38
logical,123,64,52.03
marketing,180,129,71.67
high_school_chemistry,132,90,68.18
clinical_knowledge,237,154,64.98
college_law,108,58,53.7
college_actuarial_science,106,37,34.91
food_science,143,97,67.83
arts,160,138,86.25
college_engineering_hydrology,106,57,53.77
elementary_information_and_technology,238,191,80.25
journalism,172,109,63.37
high_school_physics,110,55,50.0
chinese_foreign_policy,107,76,71.03
elementary_mathematics,230,88,38.26
world_history,161,119,73.91
sports_science,165,94,56.97
virology,169,115,68.05
education,163,117,71.78
chinese_driving_rule,131,118,90.08
nutrition,145,89,61.38
professional_psychology,232,178,76.72
college_medicine,273,189,69.23
marxist_theory,189,166,87.83
jurisprudence,411,281,68.37
sociology,226,156,69.03
agronomy,169,104,61.54
computer_security,171,141,82.46
computer_science,204,125,61.27
